epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,443.326,0.58119,0.82547,0.94517,0.32103,0.45952,0.33863,0.25364,0.92089,1.58281,1.15287,0.000848969,0.000848969,0.000848969
43,454.509,0.59174,0.81424,0.94805,0.43506,0.60304,0.4629,0.38765,0.5841,1.12255,0.91742,0.000834822,0.000834822,0.000834822
44,463.286,0.593,0.82045,0.94975,0.39817,0.64051,0.44056,0.36847,0.56009,1.14179,0.90357,0.000820675,0.000820675,0.000820675
45,473.668,0.58872,0.82669,0.9546,0.42344,0.68261,0.4651,0.40334,0.53001,1.24127,0.89256,0.000806528,0.000806528,0.000806528
46,484.683,0.58477,0.80363,0.94649,0.37164,0.6618,0.42257,0.36136,0.55455,1.25844,0.90434,0.00079238,0.00079238,0.00079238
47,492.999,0.57216,0.77847,0.93553,0.43618,0.60313,0.45118,0.38822,0.52363,1.39176,0.89562,0.000778233,0.000778233,0.000778233
48,503.848,0.55906,0.76692,0.9331,0.31239,0.47798,0.33028,0.24724,0.84831,1.48527,1.04343,0.000764086,0.000764086,0.000764086
49,514.71,0.56794,0.76565,0.9319,0.40708,0.66122,0.4471,0.3875,0.48859,1.36444,0.86971,0.000749939,0.000749939,0.000749939
50,522.615,0.55699,0.73928,0.92924,0.45212,0.57033,0.45368,0.38344,0.56459,1.20255,0.91906,0.000735792,0.000735792,0.000735792
51,533.595,0.56331,0.77913,0.93546,0.4031,0.63879,0.44796,0.39279,0.48998,1.23641,0.86834,0.000721645,0.000721645,0.000721645
52,544.278,0.57097,0.76674,0.93885,0.4331,0.58518,0.43542,0.38152,0.50732,1.38965,0.88593,0.000707498,0.000707498,0.000707498
53,552.036,0.57618,0.75527,0.93753,0.45429,0.6131,0.46175,0.40114,0.51455,1.48867,0.88895,0.000693351,0.000693351,0.000693351
54,563.213,0.56406,0.73437,0.9395,0.38931,0.68461,0.43511,0.38181,0.49416,1.47896,0.86948,0.000679204,0.000679204,0.000679204
55,574.47,0.55115,0.71826,0.92922,0.41596,0.68264,0.46432,0.409,0.46757,1.32363,0.85662,0.000665057,0.000665057,0.000665057
